Zona,Código.Comuna,Código.Puesto,Nombre.Puesto,num_mesas,suma_votos,prom_votos_mesa,pct_votos,prop_acum
NORTE,1,02,INST.EDUC. LA CANDELARIA,50,3427,68.54,0.14656573432554956,0.14656573432554956
NORTE,1,03,SEC.ESC.AGRIPINA MONTES DEL VALLE,25,2775,111,0.11868103669489351,0.2652467710204431
NORTE,1,04,SEC. ESC. MEDELLIN,26,2699,103.8076923076923,0.11543067316739372,0.3806774441878368
NORTE,1,02,SEC. ESC. DIVINA PROVIDENCIA,36,2249,62.47222222222222,0.09618509964930289,0.47686254383713966
NORTE,1,01,SEC.ESC. PABLO VI,34,2248,66.11764705882354,0.09614233170815156,0.5730048755452912
NORTE,1,01,SEC. ESC. LA ESPERANZA NO 2,38,2056,54.10526315789474,0.08793088700709947,0.6609357625523907
NORTE,1,03,IE MARIA DE LOS ANGELES CANO MARQUEZ,24,2043,85.125,0.0873749037721324,0.7483106663245231
NORTE,1,05,I.E.GUADALUPE,25,1700,68,0.07270549995723206,0.8210161662817552
NORTE,1,09,IE NUEVO HORIZONTES NO 2,37,1216,32.86486486486486,0.05200581643999658,0.8730219827217518
NORTE,1,04,I.E.FEDERICO CARRASQUILLA,12,848,70.66666666666667,0.0362672140963134,0.9092891968180652
NORTE,1,08,IE ANTONIO DERKA,15,742,49.46666666666667,0.031733812334274226,0.9410230091523394
NORTE,1,05,I.E.FE Y ALEGRIA GRANIZAL,12,718,59.833333333333336,0.030707381746642715,0.971730390898982
NORTE,1,06,IE LA AVANZADA,6,336,56,0.01437002822684116,0.9861004191258232
NORTE,1,07,SEC. ESC. CARPINELO AMAPOLITA,5,325,65,0.013899580874176717,1
SUR,14,03,UNIVERSIDAD EAFIT,47,10186,216.72340425531914,0.17004440586290942,0.17004440586290942
SUR,14,02,COL.MARYMOUNT,37,8886,240.16216216216216,0.14834229241093785,0.31838669827384725
SUR,14,01,COL.SANTA MARIA DEL ROSARIO,32,7491,234.09375,0.12505425528362993,0.4434409535574772
SUR,14,02,INEM JOSE FELIX DE RESTREPO,37,7220,195.13513513513513,0.1205301993255651,0.5639711528830423
SUR,14,04,COL DE LA COMPAÑIA DE MARIA LA ENSEÑANZA,32,7171,224.09375,0.11971219658776001,0.6836833494708023
SUR,14,01,POLITECNICO JAIME ISAZA CADAVID,35,6390,182.57142857142858,0.10667423458315248,0.7903575840539547
SUR,14,05,SAN JOSE DE LAS VEGAS,27,5836,216.14814814814815,0.09742579546592768,0.8877833795198825
SUR,14,03,COLEGIO SAN LUCAS,15,3681,245.4,0.06145036893592868,0.9492337484558111
SUR,14,04,ESC GUILLERMO ECHAVARRIA MISAS,10,1805,180.5,0.030132549831391273,0.9793662982872025
SUR,14,05,COLEGIO CAMPESTRE MANZANARES,3,587,195.66666666666666,0.009799338920236387,0.9891656372074388
SUR,14,06,COLEGIO PINARES ALTOVERDE,2,340,170,0.0056759373643617906,0.9948415745718006
SUR,14,06,COLEGIO SAN JOSE DE LA SALLE,2,309,154.5,0.005158425428199392,1
